Condition_name_long	Condition_short	sensitive	resistance
EMM	EMM-Control		
EMM_3AT_4	EMM-3AT4	FYPO:0001097	
EMM_3AT_6	EMM-3AT6	FYPO:0001097	
EMM_CanavanineA_60	EMM-Canav60	FYPO:0000099	FYPO:0001029
EMM_Cys	EMM-Cys	FYPO:0007922	
EMM_Met	EMM-Met	FYPO:0002705	
EMM__Bleo_200	EMM-Bleo200	FYPO:0000095	
EMM_phlox	EMMphlox-Control		
EMM_phlox_CanavaninA_75ugml	EMMphlox-Cana75	FYPO:0000099	FYPO:0001029
YES	YES-Control		
YES_0.5M_KCl_SDS_0.01percent	YES-KCl0.5SDS0.01	FYPO:0007924	
YES_150mM_NaCl	YES-NaCl150	FYPO:0005889	FYPO:0005968
YES_150mM_NaCl_MMS_0.005percent	YES-NaCl150MMS0.005	FYPO:0007925	
YES_1M_KCl_SDS_0.01percent	YES-KCl1SDS0.01	FYPO:0007924	
YES_Bleo_200	YES-Bleo200	FYPO:0000095	
YES_Bleo_300	YES-Bleo300	FYPO:0000095	
YES_Bleo_600	YES-Bleo600	FYPO:0000095	
YES_Bortezomib_100ul	YES-Bortezomib100	FYPO:0001701	
YES_Bortezomib_200ul	YES-Bortezomib200	FYPO:0001701	
YES_BrefeldinA_60	YES-Bref60	FYPO:0001501	FYPO:0000067
YES_Calcofluor_4_KCl	YES-Calco4KCl0.5	FYPO:0007926	
YES_CanavanineA_120	YES-Cana120	FYPO:0000099	FYPO:0001029
YES_CanavanineA_60	YES-Cana60	FYPO:0000099	FYPO:0001029
YES_CoCl_0.25mM	YES-CoCl0.25	FYPO:0001245	FYPO:0002634
YES_CoCl_5	YES-CoCl5	FYPO:0001245	FYPO:0002634
YES_Cycloheximide_100mg	YES-Cycloh100	FYPO:0000104	FYPO:0000764
YES_Cycloheximide_200mg	YES-Cycloh200	FYPO:0000104	FYPO:0000764
YES_Cycloheximide_400	YES-Cycloh400	FYPO:0000104	FYPO:0000764
YES_Cycloheximide_600	YES-Cycloh600	FYPO:0000104	FYPO:0000764
YES_Dihydrocumarin_100ul	YES-Dhcumarin100	FYPO:0007927	
YES_Dihydrocumarin_200ul	YES-Dhcumarin200	FYPO:0007927	
YES_Dihydrocumarin_50ul	YES-Dhcumarin50	FYPO:0007927	
YES_EDTA_0.1	YES-EDTA0.1	FYPO:0007928	
YES_EDTA_0.3	YES-EDTA0.3	FYPO:0007928	
YES_EDTA_0.6	YES-EDTA0.6	FYPO:0007928	
YES_EtOH_5percent	YES-EtOH5	FYPO:0000842	FYPO:0001453
YES_Formamide_3percent	YES-Forma3	FYPO:0000785	
YES_HU_30mM	YES-HU30	FYPO:0000088	FYPO:0002578
YES_HU_45mM	YES-HU45	FYPO:0000088	FYPO:0002578
YES_NaOrthovanadate_3mM	YES-Ovana3	FYPO:0003656	
YES_NaOrthovanadate_6mM	YES-Ovana6	FYPO:0003656	
YES_SDS_0.01percent	YES-SDS0.01	FYPO:0000841	
YES_SDS_0.02percent	YES-SDS0.02	FYPO:0000841	
YES_TBH_15	YES-TBH15	FYPO:0000797	FYPO:0003383
YES_TBH_2mM	YES-TBH2	FYPO:0000797	FYPO:0003383
YES_UV_1000	YES-UV1000	FYPO:0002550	
YES_UV_10min	YES-UV10m	FYPO:0002550	
YES_UV_2000	YES-UV2000	FYPO:0002550	
YES_UV_20min	YES-UV20m	FYPO:0002550	
YES_UV_3000	YES-UV3000	FYPO:0002550	
YES_UV_4000	YES-UV4000	FYPO:0002550	
