Condition Name	sensitive	resistance
EMM_NH4Cl		
EMM_Glu		
EMM_Arg		
EMM_Cyst		
EMM_Iso		
EMM_Met		
EMM_Phe		
EMM_Pro		
EMM_Gluc0.5		
EMM_Gluc2		
EMM_Gluc3		
EMM_Gly3		
EMM_Gal2		
Temp25C		
Temp32C		
Temp37C		
H2O2_0.5mM	FYPO:0000087	FYPO:0001103
H2O2_1mM	FYPO:0000087	FYPO:0001103
H2O2_3mM	FYPO:0000087	FYPO:0001103
TBH0.2mM	FYPO:0000797	FYPO:0003383
TBH1mM	FYPO:0000797	FYPO:0003383
Diam2mM	FYPO:0000799	FYPO:0002693
Bleo20ug	FYPO:0000095	
HU10mM	FYPO:0000088	FYPO:0002578
HU20mM	FYPO:0000088	FYPO:0002578
HU5mM	FYPO:0000088	FYPO:0002578
MMS0.005	FYPO:0000089	FYPO:0000725
MMS0.0075	FYPO:0000089	FYPO:0000725
KCl1M	FYPO:0001214	
Sorb1.2M	FYPO:0000112	
Ant0.1ng	FYPO:0000440	FYPO:0000441
Ant1ng	FYPO:0000440	FYPO:0000441
CoCl0.25mM	FYPO:0001245	FYPO:0002634
EGTA10mM	FYPO:0007931	
SDS0.001	FYPO:0000841	FYPO:0005266
SDS0.005	FYPO:0000841	FYPO:0005266
Bref60uM	FYPO:0001501	FYPO:0000067
TSA500nM	FYPO:0002546	FYPO:0000327
VPA3mM	FYPO:0000115	FYPO:0007808
VPA5mM	FYPO:0000115	FYPO:0007808
3AT10mM		
3AT20mM		
Can60ug	FYPO:0000099	FYPO:0001029
Caff10mM	FYPO:0000097	FYPO:0000073
Rap100ng	FYPO:0000111	FYPO:0000077
Rap1ug	FYPO:0000111	FYPO:0000077
Torin5uM	FYPO:0002701	FYPO:0005193
