value	terms	exclude_term
EMM	FYECO:0000126
NH4Cl	FYECO:0000254	FYECO:0000126
Glu	FYECO:0000263	FYECO:0000126
Arg	FYECO:0000331	FYECO:0000126
Cyst	FYECO:0000416	FYECO:0000126
Iso	FYECO:0000278	FYECO:0000126
Met	FYECO:0000417	FYECO:0000126
Phe	FYECO:0000296	FYECO:0000126
Pro	FYECO:0000246	FYECO:0000126
Gluc0.5	dose
Gluc2	dose
Gluc3	dose
Gly3	FYECO:0000072	FYECO:0000126
Gal2	FYECO:0000289	FYECO:0000126
Temp25C	temperature
Temp32C	temperature
Temp37C	FYECO:0000004,temperature
H2O2	FYECO:0000078
0.5mM	dose
1mM	dose
3mM	dose
TBH0.2mM	FYECO:0000304
TBH1mM	FYECO:0000304
Diam2mM	FYECO:0000364
Bleo20ug	FYECO:0000277
HU10mM	FYECO:0000170
HU20mM	FYECO:0000170
HU5mM	FYECO:0000170
MMS0.005	FYECO:0000211
MMS0.0075	FYECO:0000211
KCl1M	FYECO:0000207
Sorb1.2M	FYECO:0000025
Ant0.1ng	FYECO:0000143
Ant1ng	FYECO:0000143
CoCl0.25mM	FYECO:0000311
EGTA10mM	FYECO:0000411
SDS0.001	FYECO:0000167
SDS0.005	FYECO:0000167
Bref60uM	FYECO:0000319
TSA500nM	FYECO:0000268
VPA3mM	FYECO:0000413
VPA5mM	FYECO:0000413
3AT10mM	FYECO:0000251
3AT20mM	FYECO:0000251
Can60ug	FYECO:0000408
Caff10mM	FYECO:0000069
Rap100ng	FYECO:0000242
Rap1ug	FYECO:0000242
Torin5uM	FYECO:0000390
