Condition_name_long	Condition_short	sensitive	resistance	sensitive_label	resistance_label	fyeco_terms	chemicals_chebi	chemicals_amount	temperature
EMM	EMM-Control	FYPO:0001355	FYPO:0004557	decreased vegetative cell population growth	increased vegetative cell population growth	FYECO:0000126			32
EMM_3AT_4	EMM-3AT4	FYPO:0001097	FYPO:0009030	sensitive to amitrole	resistance to amitrole	FYECO:0000126,FYECO:0000251	CHEBI:40036	4mM	32
EMM_3AT_6	EMM-3AT6	FYPO:0001097	FYPO:0009030	sensitive to amitrole	resistance to amitrole	FYECO:0000126,FYECO:0000251	CHEBI:40036	6mM	32
EMM_CanavanineA_60	EMM-Canav60	FYPO:0000099	FYPO:0001029	sensitive to canavanine	resistance to canavanine	FYECO:0000126,FYECO:0000408	CHEBI:609827	60ug/ml	32
EMM_Cys	EMM-Cys	FYPO:0007922	FYPO:0009048	sensitive to cysteine	resistance to cysteine	FYECO:0000126,FYECO:0000179	CHEBI:17561	0.5g/l	32
EMM_Met	EMM-Met	FYPO:0002705	FYPO:0009049	sensitive to methionine	resistance to methionine	FYECO:0000126,FYECO:0000178	CHEBI:16643	0.5g/l	32
EMM__Bleo_200	EMM-Bleo200	FYPO:0000095	FYPO:0009031	sensitive to bleomycin	resistance to bleomycin	FYECO:0000126,FYECO:0000277	CHEBI:22907	200ug/ml	32
EMM_phlox	EMMphlox-Control	FYPO:0009007	FYPO:0009008	decreased vegetative cell population viability	increased vegetative cell population viability	FYECO:0000126,FYECO:0000334			32
EMM_phlox_CanavaninA_75ugml	EMMphlox-Cana75	FYPO:0000099	FYPO:0001029	sensitive to canavanine	resistance to canavanine	FYECO:0000126,FYECO:0000334,FYECO:0000408	CHEBI:609827	75ug/ml	32
YES	YES-Control	FYPO:0001355	FYPO:0004557	decreased vegetative cell population growth	increased vegetative cell population growth	FYECO:0000137			32
YES_0.5M_KCl_SDS_0.01percent	YES-KCl0.5SDS0.01	FYPO:0007924	FYPO:0009043	sensitive to potassium chloride and sodium dodecyl sulfate	resistance to potassium chloride and sodium dodecyl sulfate	FYECO:0000137,FYECO:0000207,FYECO:0000167	CHEBI:32588|CHEBI:8984	0.5M|0.01%	32
YES_150mM_NaCl	YES-NaCl150	FYPO:0005889	FYPO:0005968	sensitive to sodium chloride	resistance to sodium chloride	FYECO:0000137,FYECO:0000166	CHEBI:26710	150mM	32
YES_150mM_NaCl_MMS_0.005percent	YES-NaCl150MMS0.005	FYPO:0007925	FYPO:0009044	sensitive to sodium chloride and methyl methanesulfonate	resistance to sodium chloride and methyl methanesulfonate	FYECO:0000137,FYECO:0000166,FYECO:0000211	CHEBI:26710|CHEBI:25255	150mM|0.005%	32
YES_1M_KCl_SDS_0.01percent	YES-KCl1SDS0.01	FYPO:0007924	FYPO:0009043	sensitive to potassium chloride and sodium dodecyl sulfate	resistance to potassium chloride and sodium dodecyl sulfate	FYECO:0000137,FYECO:0000207,FYECO:0000167	CHEBI:32588|CHEBI:8984	1M|0.01%	32
YES_Bleo_200	YES-Bleo200	FYPO:0000095	FYPO:0009031	sensitive to bleomycin	resistance to bleomycin	FYECO:0000137,FYECO:0000277	CHEBI:22907	200ug/ml	32
YES_Bleo_300	YES-Bleo300	FYPO:0000095	FYPO:0009031	sensitive to bleomycin	resistance to bleomycin	FYECO:0000137,FYECO:0000277	CHEBI:22907	300ug/ml	32
YES_Bleo_600	YES-Bleo600	FYPO:0000095	FYPO:0009031	sensitive to bleomycin	resistance to bleomycin	FYECO:0000137,FYECO:0000277	CHEBI:22907	600ug/ml	32
YES_Bortezomib_100ul	YES-Bortezomib100	FYPO:0001701	FYPO:0009032	sensitive to bortezomib	resistance to bortezomib	FYECO:0000137,FYECO:0000322	CHEBI:52717	100uM	32
YES_Bortezomib_200ul	YES-Bortezomib200	FYPO:0001701	FYPO:0009032	sensitive to bortezomib	resistance to bortezomib	FYECO:0000137,FYECO:0000322	CHEBI:52717	200uM	32
YES_BrefeldinA_60	YES-Bref60	FYPO:0001501	FYPO:0000067	sensitive to brefeldin A	resistance to brefeldin A	FYECO:0000137,FYECO:0000319	CHEBI:48080	60uM	32
YES_Calcofluor_4_KCl	YES-Calco4KCl0.5	FYPO:0007926	FYPO:0009045	sensitive to calcofluor and potassium chloride	resistance to calcofluor and potassium chloride	FYECO:0000137,FYECO:0000113,FYECO:0000207	CHEBI:50011|CHEBI:32588	400ug/mL|0.5M	32
YES_CanavanineA_120	YES-Cana120	FYPO:0000099	FYPO:0001029	sensitive to canavanine	resistance to canavanine	FYECO:0000137,FYECO:0000408	CHEBI:609827	120mg/ml	32
YES_CanavanineA_60	YES-Cana60	FYPO:0000099	FYPO:0001029	sensitive to canavanine	resistance to canavanine	FYECO:0000137,FYECO:0000408	CHEBI:609827	60mg/ml	32
YES_CoCl_0.25mM	YES-CoCl0.25	FYPO:0001245	FYPO:0002634	sensitive to cobalt	resistance to cobalt	FYECO:0000137,FYECO:0000311	CHEBI:48828	0.25mM	32
YES_CoCl_5	YES-CoCl5	FYPO:0001245	FYPO:0002634	sensitive to cobalt	resistance to cobalt	FYECO:0000137,FYECO:0000311	CHEBI:48828	5nM	32
YES_Cycloheximide_100mg	YES-Cycloh100	FYPO:0000104	FYPO:0000764	sensitive to cycloheximide	resistance to cycloheximide	FYECO:0000137,FYECO:0000257	CHEBI:27641	100ng/ml	32
YES_Cycloheximide_200mg	YES-Cycloh200	FYPO:0000104	FYPO:0000764	sensitive to cycloheximide	resistance to cycloheximide	FYECO:0000137,FYECO:0000257	CHEBI:27641	200ng/ml	32
YES_Cycloheximide_400	YES-Cycloh400	FYPO:0000104	FYPO:0000764	sensitive to cycloheximide	resistance to cycloheximide	FYECO:0000137,FYECO:0000257	CHEBI:27641	400ng/ml	32
YES_Cycloheximide_600	YES-Cycloh600	FYPO:0000104	FYPO:0000764	sensitive to cycloheximide	resistance to cycloheximide	FYECO:0000137,FYECO:0000257	CHEBI:27641	600ng/ml	32
YES_Dihydrocumarin_100ul	YES-Dhcumarin100	FYPO:0007927	FYPO:0009033	sensitive to dihydrocoumarin	resistance to dihydrocoumarin	FYECO:0000137,FYECO:0000410	CHEBI:16151	11.6ug/ml	32
