Condition_name_long	fyeco_terms
EMM	FYECO:0000126
EMM_3AT_4	FYECO:0000126,FYECO:0000251,dose
EMM_3AT_6	FYECO:0000126,FYECO:0000251,dose
EMM_CanavanineA_60	FYECO:0000126,FYECO:0000408,dose
EMM_Cys	FYECO:0000126,FYECO:0000179
EMM_Met	FYECO:0000126,FYECO:0000178
EMM__Bleo_200	FYECO:0000126,FYECO:0000277,dose
EMM_phlox	FYECO:0000126,FYECO:0000334
EMM_phlox_CanavaninA_75ugml	FYECO:0000126,FYECO:0000334,FYECO:0000408,dose
YES	FYECO:0000137
YES_0.5M_KCl_SDS_0.01percent	FYECO:0000137,FYECO:0000167,FYECO:0000207,dose
YES_150mM_NaCl	FYECO:0000137,FYECO:0000166,dose
YES_150mM_NaCl_MMS_0.005percent	FYECO:0000137,FYECO:0000166,FYECO:0000211,dose
YES_1M_KCl_SDS_0.01percent	FYECO:0000137,FYECO:0000167,FYECO:0000207,dose
YES_Bleo_200	FYECO:0000137,FYECO:0000277,dose
YES_Bleo_300	FYECO:0000137,FYECO:0000277,dose
YES_Bleo_600	FYECO:0000137,FYECO:0000277,dose
YES_Bortezomib_100ul	FYECO:0000137,FYECO:0000322,dose
YES_Bortezomib_200ul	FYECO:0000137,FYECO:0000322,dose
YES_BrefeldinA_60	FYECO:0000137,FYECO:0000319,dose
YES_Calcofluor_4_KCl	FYECO:0000113,FYECO:0000137,FYECO:0000207,dose
YES_CanavanineA_120	FYECO:0000137,FYECO:0000408,dose
YES_CanavanineA_60	FYECO:0000137,FYECO:0000408,dose
YES_CoCl_0.25mM	FYECO:0000137,FYECO:0000311,dose
YES_CoCl_5	FYECO:0000137,FYECO:0000311,dose
YES_Cycloheximide_100mg	FYECO:0000137,FYECO:0000257,dose
YES_Cycloheximide_200mg	FYECO:0000137,FYECO:0000257,dose
YES_Cycloheximide_400	FYECO:0000137,FYECO:0000257,dose
YES_Cycloheximide_600	FYECO:0000137,FYECO:0000257,dose
YES_Dihydrocumarin_100ul	FYECO:0000137,FYECO:0000410,dose
YES_Dihydrocumarin_200ul	FYECO:0000137,FYECO:0000410,dose
YES_Dihydrocumarin_50ul	FYECO:0000137,FYECO:0000410,dose
YES_EDTA_0.1	FYECO:0000137,FYECO:0000176,dose
YES_EDTA_0.3	FYECO:0000137,FYECO:0000176,dose
