condition	systematic_id	better_than_wild_type	severity	allele_type	expression	evidence	file	sheet_name
YES-Control	SPNCRNA.1343	False	fitness_log2(-0.0901)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
YES-Control	SPNCRNA.236	False	fitness_log2(-0.137)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
YES-Control	SPNCRNA.989	False	fitness_log2(-0.179)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
YESphlox-Control	SPNCRNA.1119	False	fitness_log2(-0.0732)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
YESphlox-Control	SPNCRNA.1343	False	fitness_log2(-0.163)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
YESphlox-Control	SPNCRNA.189	False	fitness_log2(-0.0665)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
YESphlox-Control	SPNCRNA.236	False	fitness_log2(-0.13)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
YESphlox-Control	SPNCRNA.989	False	fitness_log2(-0.155)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMM-Control	SPNCRNA.01	False	fitness_log2(-0.107)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMM-Control	SPNCRNA.1234	False	fitness_log2(-0.371)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMM-Control	SPNCRNA.175	True	fitness_log2(0.0849)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMM-Control	SPNCRNA.236	False	fitness_log2(-0.2)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMM-Control	SPNCRNA.989	False	fitness_log2(-0.0961)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMMphlox-Control	SPNCRNA.1119	False	fitness_log2(-0.165)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMMphlox-Control	SPNCRNA.1234	False	fitness_log2(-0.387)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMMphlox-Control	SPNCRNA.236	False	fitness_log2(-0.195)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMMphlox-Control	SPNCRNA.29	True	fitness_log2(0.146)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMMphlox-Control	SPNCRNA.311	False	fitness_log2(-0.0699)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMMphlox-Control	SPNCRNA.3461	False	fitness_log2(-0.111)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMMphlox-Control	SPNCRNA.4472	False	fitness_log2(-0.0705)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMMphlox-Control	SPNCRNA.5296	False	fitness_log2(-0.0841)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMMphlox-Control	SPNCRNA.603	False	fitness_log2(-0.0716)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMMphlox-Control	SPNCRNA.989	False	fitness_log2(-0.111)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
EMMphlox-Control	SPNCRNA.993	False	fitness_log2(-0.0875)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_benign
YESphlox-Control	SPNCRNA.1343	True	fitness_log2(0.0457)	deletion	null	ECO:0005004	data/elife-76000-supp2-v2.xlsx	viability_benign
YESphlox-Control	SPNCRNA.989	True	fitness_log2(0.0287)	deletion	null	ECO:0005004	data/elife-76000-supp2-v2.xlsx	viability_benign
EMMphlox-Control	SPNCRNA.1234	True	fitness_log2(0.0912)	deletion	null	ECO:0005004	data/elife-76000-supp2-v2.xlsx	viability_benign
EMM-3AT6	SPNCRNA.01	False	fitness_log2(-0.0137)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-VPA5	SPNCRNA.01	True	fitness_log2(0.0746)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-LiCl6	SPNCRNA.01	True	fitness_log2(0.219)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Calco10KCl0.5	SPNCRNA.1122	True	fitness_log2(0.126)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
